contestant_id,celebrity_name,judge_total,p_mean,p_median,p_q025,p_q975,actual_eliminated,eval_week,season,week,judge_rank,fan_rank,sum_rank,k_actual_elim,predicted_eliminated,week_correct,predicted_elim_names,actual_elim_names,num_contestants
6,Master P,12.0,0.0385619390588331,0.0250933604353356,0.0001356370019914,0.1521306547234625,False,True,2,1,10,9,19,1,False,True,Kenny Mayne,Kenny Mayne,10
7,Stacy Keibler,22.0,0.1467176634937087,0.1093621986181996,0.0147721428581919,0.4631575272877039,False,True,2,1,4,3,7,1,False,True,Kenny Mayne,Kenny Mayne,10
8,Tatum O'Neal,23.0,0.1028584335782946,0.073208540558315,0.0112550310864098,0.3559989206165517,False,True,2,1,2,4,6,1,False,True,Kenny Mayne,Kenny Mayne,10
9,Tia Carrere,20.0,0.0630935868830444,0.0486560543304593,0.0064128523898414,0.2148665377402096,False,True,2,1,6,7,13,1,False,True,Kenny Mayne,Kenny Mayne,10
0,Drew Lachey,27.0,0.2102955546144331,0.1673450385162204,0.0218684451934515,0.6325159635708636,False,True,2,2,2,2,4,1,False,True,Tatum O'Neal,Tatum O'Neal,9
1,George Hamilton,22.0,0.0751116196955803,0.0547828845130382,0.0031791369319301,0.2702924308243952,False,True,2,2,5,4,9,1,False,True,Tatum O'Neal,Tatum O'Neal,9
2,Giselle Fernandez,24.0,0.052552954705203,0.0351204389632402,0.0045335370520524,0.2123541622507851,False,True,2,2,3,6,9,1,False,True,Tatum O'Neal,Tatum O'Neal,9
3,Jerry Rice,23.0,0.1683377189137386,0.1367123859442059,0.0082774047434379,0.5143822888010213,False,True,2,2,4,3,7,1,False,True,Tatum O'Neal,Tatum O'Neal,9
5,Lisa Rinna,20.0,0.0498767773592909,0.031581885157609,0.001544362798278,0.2416326917218666,False,True,2,2,7,7,14,1,False,True,Tatum O'Neal,Tatum O'Neal,9
6,Master P,16.0,0.0466373217511503,0.0308762275429646,0.0001499187691262,0.1746164552787764,False,True,2,2,9,8,17,1,False,True,Tatum O'Neal,Tatum O'Neal,9
7,Stacy Keibler,29.0,0.3259981419330977,0.276292369847476,0.0315171942733168,0.8498475058669318,False,True,2,2,1,1,2,1,False,True,Tatum O'Neal,Tatum O'Neal,9
8,Tatum O'Neal,17.0,0.0184334596466089,0.011772795900622,0.0002258038652573,0.0691173005527676,True,True,2,2,8,9,17,1,True,True,Tatum O'Neal,Tatum O'Neal,9
